Kloc+,Effort-,Defects-,Months-,Time
1.096,6.699,2.275,0.328
1.423,2.03,2.216,0.238
3.363,3.354,4.622,0.314
1.899,2.795,1.693,0.238
1.844,3.869,1.364,0.271
1.714,3.454,2.845,0.371
1.416,2.752,1.114,0.348
1.844,2.152,2.216,0.306
1.891,1.978,2.805,0.335
2.331,1.905,3.125,0.335
2.553,2.152,4.037,0.264
1.178,2.03,4.622,0.355
1.785,2.129,2.852,0.258
1.492,1.898,2.916,0.41
5.991,2.749,2.876,0.249
1.778,1.455,4.042,0.26
2.398,1.898,3.125,0.24
2.168,1.573,4.622,0.366
1.0,5.615,2.123,0.328
2.727,2.469,1.878,0.277
,,,,3.54
